PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Overall_GPA_Term,Prior_Overall_Term_Desc,Prior_Overall_GPA_Term_Level,Prior_Term_Overall_GPA
296916,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,4
296931,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,3.45
296994,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,2.50526316
297016,202120,Spring 2021,PHYS17200,28590,,,,
297041,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.25333333
297082,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,1.82666667
297096,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,1.83793103
297120,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,1.575
297185,202120,Spring 2021,PHYS17200,26669,202110,Fall 2020,Undergraduate,3.20588235
297346,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.11333333
297373,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,2.73333333
297407,202120,Spring 2021,PHYS22000,11270,,,,
297418,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,1.4
297423,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.64615385
297453,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.18235294
297472,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.50666667
297545,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,3.56153846
297629,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.47222222
297655,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,4
297689,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.23055556
297733,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,0
297843,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.89285714
297899,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,2.33333333
297899,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.46
298047,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.65172414
298051,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.93571429
298076,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.08333333
298100,202120,Spring 2021,PHYS17200,26669,202110,Fall 2020,Undergraduate,3.27142857
298134,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.79411765
298153,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,3.64285714
298155,202120,Spring 2021,PHYS17200,26669,202110,Fall 2020,Undergraduate,4
298183,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,3.69230769
298323,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.675
298369,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,3.52777778
298384,202120,Spring 2021,PHYS17200,26669,202110,Fall 2020,Undergraduate,4
298391,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,1.48
298435,202210,Fall 2021,PHYS17200,37254,202120,Spring 2021,Undergraduate,3.47058824
298469,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,4
298545,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.28571429
298731,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.56470588
298732,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,2.55862069
299490,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,2.55714286
299510,202210,Fall 2021,PHYS17200,37253,202120,Spring 2021,Undergraduate,3.54571429
299732,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.0826087
299732,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.85714286
299879,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,3.52777778
300266,202210,Fall 2021,PHYS17200,37254,202120,Spring 2021,Undergraduate,1.78148148
300458,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,3.66666667
300967,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.38695652
301082,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,4
301280,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2
301743,202210,Fall 2021,PHYS17200,26931,202120,Spring 2021,Undergraduate,4
301923,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,2.92758621
301946,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.58333333
302083,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.95714286
302084,202210,Fall 2021,PHYS17200,37253,,,,
302917,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,4
303058,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.3
303110,202210,Fall 2021,PHYS17200,37253,202120,Spring 2021,Undergraduate,4
303147,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,4
303803,202120,Spring 2021,PHYS22000,25707,,,,
303832,202210,Fall 2021,PHYS17200,26930,,,,
304462,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.10666667
304578,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,1.52222222
304893,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,4
305378,202210,Fall 2021,PHYS17200,26931,,,,
305470,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,4
306376,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,2.675
306440,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,4
306685,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.06
306985,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,1.43333333
307406,202210,Fall 2021,PHYS17200,26931,202120,Spring 2021,Undergraduate,2.87272727
307422,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,4
307499,202210,Fall 2021,PHYS17200,26931,202120,Spring 2021,Undergraduate,4
308131,202210,Fall 2021,PHYS17200,37254,,,,
308237,202210,Fall 2021,PHYS17200,26930,,,,
308351,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.76923077
308396,202210,Fall 2021,PHYS22000,27016,,,,
308529,202120,Spring 2021,PHYS22000,26670,,,,
308942,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.33333333
309000,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.25
309000,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.30689655
309293,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.66
311673,202210,Fall 2021,PHYS17200,26979,,,,
311801,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.95384615
312599,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,4
314077,202210,Fall 2021,PHYS17200,37254,202120,Spring 2021,Undergraduate,4
314246,202210,Fall 2021,PHYS17200,37253,202120,Spring 2021,Undergraduate,4
314456,202210,Fall 2021,PHYS17200,37254,202120,Spring 2021,Undergraduate,3
